City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Duldurga,RU,2021-10-14 18:00:39,50.6761,113.5931,19.6,75,56,27.16
1,Coihaique,CL,2021-10-14 18:00:39,-45.5752,-72.0662,46.08,55,90,11.97
2,Tiksi,RU,2021-10-14 18:00:39,71.6872,128.8694,11.8,91,99,7.56
3,Wewak,PG,2021-10-14 18:00:40,-3.5534,143.6268,78.84,83,60,2.39
4,Avarua,CK,2021-10-14 17:57:49,-21.2078,-159.775,71.65,94,70,1.14
5,Bredasdorp,ZA,2021-10-14 18:00:40,-34.5322,20.0403,56.28,86,100,3.6
6,Cayenne,GF,2021-10-14 18:00:07,4.9333,-52.3333,91.44,75,20,3.0
7,Warrnambool,AU,2021-10-14 18:00:41,-38.3833,142.4833,46.81,82,56,6.06
8,East London,ZA,2021-10-14 18:00:41,-33.0153,27.9116,64.98,69,70,14.54
9,Syke,DE,2021-10-14 18:00:42,52.9,8.8333,56.01,82,75,10.36
10,Hobart,AU,2021-10-14 18:00:34,-42.8794,147.3294,58.01,94,90,9.22
11,New Norfolk,AU,2021-10-14 18:00:42,-42.7826,147.0587,57.65,88,100,3.38
12,Esperance,AU,2021-10-14 18:00:43,-33.8667,121.9,50.74,83,63,8.88
13,Yar-Sale,RU,2021-10-14 18:00:43,66.8333,70.8333,43.12,86,100,21.65
14,Bengkulu,ID,2021-10-14 18:00:44,-3.8004,102.2655,75.52,90,100,2.91
15,Albany,US,2021-10-14 18:00:29,42.6001,-73.9662,73.09,73,89,7.38
16,Rikitea,PF,2021-10-14 18:00:44,-23.1203,-134.9692,73.94,75,78,5.77
17,Lompoc,US,2021-10-14 18:00:44,34.6391,-120.4579,76.84,63,0,5.99
18,Port Elizabeth,ZA,2021-10-14 18:00:45,-33.918,25.5701,61.11,71,100,9.13
19,Butembo,CD,2021-10-14 18:00:22,0.15,29.2833,58.33,96,92,2.04
20,Hilo,US,2021-10-14 17:59:40,19.7297,-155.09,77.29,88,90,8.05
21,Broome,US,2021-10-14 18:00:46,42.2506,-75.833,74.7,61,77,1.01
22,Qaanaaq,GL,2021-10-14 18:00:46,77.484,-69.3632,24.22,95,100,13.4
23,Ushuaia,AR,2021-10-14 17:57:58,-54.8,-68.3,46.02,61,75,24.16
24,Norman Wells,CA,2021-10-14 18:00:47,65.282,-126.8329,26.64,80,75,4.61
25,Airai,TL,2021-10-14 18:00:47,-8.9266,125.4092,62.56,88,94,1.01
26,Inuvik,CA,2021-10-14 18:00:47,68.3499,-133.7218,30.24,96,96,3.6
27,Georgetown,MY,2021-10-14 18:00:48,5.4112,100.3354,84.13,89,67,0.0
28,Lappeenranta,FI,2021-10-14 18:00:48,61.0587,28.1887,41.05,97,0,4.61
29,Hofn,IS,2021-10-14 18:00:49,64.2539,-15.2082,40.44,53,5,5.53
30,Saskylakh,RU,2021-10-14 18:00:49,71.9167,114.0833,3.02,93,91,8.86
31,Wloszczowa,PL,2021-10-14 18:00:50,50.8526,19.9659,49.17,76,92,10.33
32,Charters Towers,AU,2021-10-14 18:00:50,-20.1,146.2667,72.45,72,97,6.35
33,Abu Dhabi,AE,2021-10-14 18:00:51,24.4667,54.3667,88.16,61,0,9.73
34,Port Hardy,CA,2021-10-14 18:00:51,50.6996,-127.4199,46.58,100,90,10.36
35,Reyes,BO,2021-10-14 18:00:51,-14.3167,-67.3833,100.54,32,62,9.26
36,Bluff,NZ,2021-10-14 18:00:52,-46.6,168.3333,47.98,72,97,13.06
